Kraj poczÄ…tkowy;Kraj docelowy
USA;Wielka Brytania
Wielka Brytania;USA
USA;Kanada
Kanada;USA
USA;Meksyk
Meksyk;USA
USA;Francja
Francja;USA
USA;Niemcy
Niemcy;USA
Wielka Brytania;Hiszpania
Hiszpania;Wielka Brytania
Wielka Brytania;Francja
Francja;Wielka Brytania
Wielka Brytania;Wlochy
Wlochy;Wielka Brytania
Kanada;Wielka Brytania
Wielka Brytania;Kanada
Kanada;Francja
Francja;Kanada
Australia;Nowa Zelandia
Nowa Zelandia;Australia
Australia;Singapur
Singapur;Australia
Australia;Chiny
Chiny;Australia
Australia;Japonia
Japonia;Australia
Francja;Hiszpania
Hiszpania;Francja
Francja;Niemcy
Niemcy;Francja
Francja;Wlochy
Wlochy;Francja
Niemcy;Hiszpania
Hiszpania;Niemcy
Niemcy;Wlochy
Wlochy;Niemcy
Hiszpania;Wlochy
Wlochy;Hiszpania