Kraj początkowy;Kraj docelowy
Singapur;Malezja
Malezja;Singapur
Chiny;Korea Południowa
Korea Południowa;Chiny
Stany Zjednoczone;Kanada
Kanada;Stany Zjednoczone
Niemcy;Dania
Dania;Niemcy
Włochy;Hiszpania
Hiszpania;Włochy
Francja;Wielka Brytania
Wielka Brytania;Francja
Japonia;Chiny
Chiny;Japonia
Stany Zjednoczone;Meksyk
Meksyk;Stany Zjednoczone
Wielka Brytania;Irlandia
Irlandia;Wielka Brytania
Indie;Sri Lanka
Sri Lanka;Indie
Australia;Nowa Zelandia
Nowa Zelandia;Australia
Kanada;Norwegia
Norwegia;Kanada
Rosja;Japonia
Japonia;Rosja
Francja;Maroko
Maroko;Francja
Stany Zjednoczone;Portoryko
Portoryko;Stany Zjednoczone
Włochy;Grecja
Grecja;Włochy
Holandia;Belgia
Belgia;Holandia
Chiny;Wietnam
Wietnam;Chiny
Stany Zjednoczone;Kuba
Kuba;Stany Zjednoczone
Szwecja;Finlandia
Finlandia;Szwecja